day,batch,priority,id,name,province,city,targetAsset,collector,assetOperator,dataOwner,qaOwner,dueDate,source,licenseProof,qaResult,notes
D01,B01,P1,s048,沈阳故宫,辽宁,沈阳,scenic_s048,A,B,C,D,D01,,,,模板分配（A/B/C/D），请替换真实姓名
D01,B05,P1,s029,伪满皇宫,吉林,长春,scenic_s029,A,B,C,D,D01,,,,模板分配（A/B/C/D），请替换真实姓名
D01,B08,P1,s012,哈尔滨极地馆,黑龙江,哈尔滨,scenic_s012,A,B,C,D,D01,,,,模板分配（A/B/C/D），请替换真实姓名
D02,B01,P1,s055,张氏帅府,辽宁,沈阳,scenic_s055,B,C,D,A,D02,,,,模板分配（A/B/C/D），请替换真实姓名
D02,B05,P1,s032,长影世纪城,吉林,长春,scenic_s032,B,C,D,A,D02,,,,模板分配（A/B/C/D），请替换真实姓名
D02,B08,P1,s016,哈尔滨老道外,黑龙江,哈尔滨,scenic_s016,B,C,D,A,D02,,,,模板分配（A/B/C/D），请替换真实姓名
D03,B01,P1,s059,北陵公园,辽宁,沈阳,scenic_s059,C,D,A,B,D03,,,,模板分配（A/B/C/D），请替换真实姓名
D03,B05,P1,s044,长春世界雕塑园,吉林,长春,scenic_s044,C,D,A,B,D03,,,,模板分配（A/B/C/D），请替换真实姓名
D03,B08,P1,s018,五营国家森林公园,黑龙江,伊春,scenic_s018,C,D,A,B,D03,,,,模板分配（A/B/C/D），请替换真实姓名
D04,B01,P1,s065,兴城古城,辽宁,葫芦岛,scenic_s065,D,A,B,C,D04,,,,模板分配（A/B/C/D），请替换真实姓名
D04,B05,P1,s089,九台庙香山,吉林,长春,scenic_s089,D,A,B,C,D04,,,,模板分配（A/B/C/D），请替换真实姓名
D04,B08,P1,s020,松花江雾凇,黑龙江,哈尔滨,scenic_s020,D,A,B,C,D04,,,,模板分配（A/B/C/D），请替换真实姓名
D05,B01,P1,s077,沈阳世博园,辽宁,沈阳,scenic_s077,A,E,F,D,D05,,,,模板分配（A/B/C/D），请替换真实姓名 | D05 B 缺席，E 补位（外援替补）；D05 C 缺席，F 补位（外援替补）
